import time: self [us] | cumulative | imported package
import time:       703 |        829 |   numpy._distributor_init
import time:      1010 |       1010 |             numpy.exceptions
import time:      1172 |       1172 |             numpy._core._exceptions
import time:        84 |         84 |                 _contextvars
import time:      1122 |       1206 |               contextvars
import time:       953 |       2159 |             numpy._core.printoptions
import time:       698 |        698 |             numpy.dtypes
import time:      7335 |      12372 |           numpy._core._multiarray_umath
import time:       790 |        790 |             numpy._utils._inspect
import time:      1117 |       1906 |           numpy._core.overrides
import time:      1788 |      16065 |         numpy._core.multiarray
import time:       890 |        890 |         numpy._core.umath
import time:      1573 |       1573 |           numbers
import time:       763 |        763 |           numpy._core._dtype
import time:       706 |        706 |           numpy._core._string_helpers
import time:       875 |        875 |           numpy._core._type_aliases
import time:      1033 |       4948 |         numpy._core.numerictypes
import time:       918 |        918 |           numpy._core._ufunc_config
import time:       813 |        813 |             numpy._core._methods
import time:      1642 |       2454 |           numpy._core.fromnumeric
import time:      1071 |       4443 |         numpy._core._machar
import time:       876 |        876 |             numpy._core.shape_base
import time:       678 |        678 |             numpy._core._asarray
import time:      1411 |       1411 |             numpy._core.arrayprint
import time:      1384 |       4348 |           numpy._core.numeric
import time:       883 |       5230 |         numpy._core.einsumfunc
import time:       836 |        836 |         numpy._core.function_base
import time:       876 |        876 |         numpy._core.getlimits
import time:       765 |        765 |         numpy._core.memmap
import time:       942 |        942 |         numpy._core.records
import time:      1758 |       1758 |         numpy._core._add_newdocs
import time:       935 |        935 |         numpy._core._add_newdocs_scalars
import time:       934 |        934 |         numpy._core._dtype_ctypes
import time:      5014 |       5014 |             _ctypes
import time:      1381 |       1381 |             ctypes._endian
import time:      2151 |       8545 |           ctypes
import time:      1561 |      10105 |         numpy._core._internal
import time:       727 |        727 |         numpy._pytesttester
import time:      1291 |      50739 |       numpy._core
import time:       152 |      50890 |     numpy._core._multiarray_umath
import time:       862 |      51752 |   numpy.__config__
import time:       704 |        704 |                     numpy._typing._nbit_base
import time:       787 |        787 |                     numpy._typing._nested_sequence
import time:       669 |        669 |                     numpy._typing._shape
import time:      3147 |       5305 |                   numpy._typing._array_like
import time:      3686 |       3686 |                   numpy._typing._char_codes
import time:      3705 |       3705 |                   numpy._typing._dtype_like
import time:       921 |        921 |                   numpy._typing._nbit
import time:       842 |        842 |                   numpy._typing._scalars
import time:       943 |        943 |                   numpy._typing._ufunc
import time:      1250 |      16649 |                 numpy._typing
import time:      1065 |       1065 |                   numpy.lib._stride_tricks_impl
import time:      1275 |       2339 |                 numpy.lib._twodim_base_impl
import time:       659 |        659 |                   numpy.lib._array_utils_impl
import time:       742 |       1401 |                 numpy.lib.array_utils
import time:       769 |        769 |                 numpy.linalg._umath_linalg
import time:      2662 |      23818 |               numpy.linalg._linalg
import time:       781 |        781 |               numpy.linalg.linalg
import time:       729 |      25328 |             numpy.linalg
import time:       951 |      26278 |           numpy.matrixlib.defmatrix
import time:       681 |      26959 |         numpy.matrixlib
import time:       902 |        902 |           numpy.lib._histograms_impl
import time:      1928 |       2830 |         numpy.lib._function_base_impl
import time:       707 |        707 |         numpy.lib.stride_tricks
import time:       979 |      31473 |       numpy.lib._index_tricks_impl
import time:      1022 |      32494 |     numpy.lib._arraypad_impl
import time:      1447 |       1447 |     numpy.lib._arraysetops_impl
import time:       836 |        836 |     numpy.lib._arrayterator_impl
import time:      1052 |       1052 |     numpy.lib._nanfunctions_impl
import time:       837 |        837 |           numpy.lib._utils_impl
import time:      1141 |       1977 |         numpy.lib._format_impl
import time:       832 |       2809 |       numpy.lib.format
import time:      1492 |       1492 |       numpy.lib._datasource
import time:      1252 |       1252 |       numpy.lib._iotools
import time:      1695 |       7246 |     numpy.lib._npyio_impl
import time:       678 |        678 |         numpy.lib._ufunclike_impl
import time:       996 |       1673 |       numpy.lib._type_check_impl
import time:      1992 |       3664 |     numpy.lib._polynomial_impl
import time:      1099 |       1099 |     numpy.lib._shape_base_impl
import time:       804 |        804 |     numpy.lib._version
import time:       710 |        710 |     numpy.lib.introspect
import time:       832 |        832 |     numpy.lib.mixins
import time:       689 |        689 |     numpy.lib.npyio
import time:       809 |        809 |       numpy.lib._scimath_impl
import time:       717 |       1525 |     numpy.lib.scimath
import time:      1361 |      53755 |   numpy.lib
import time:       914 |        914 |   numpy._array_api_info
import time:      3829 |     114778 | numpy
import time:      1109 |       1109 |       numpy.core._utils
import time:       757 |       1865 |     numpy.core
import time:       794 |       2659 |   numpy.core.multiarray
import time:      1355 |       1355 |   cv2.load_config_py3
import time:       695 |        695 |   cv2.version
import time:      1098 |       1098 |   cv2.misc.version
import time:     44751 |      50556 | cv2
import time:       906 |        906 |     loguru._defaults
import time:       932 |        932 |           multiprocessing.process
import time:      2694 |       2694 |               _socket
import time:      1092 |       1092 |                 select
import time:      1811 |       2902 |               selectors
import time:      2197 |       7792 |             socket
import time:      1009 |       8801 |           multiprocessing.reduction
import time:      1360 |      11092 |         multiprocessing.context
import time:      1196 |      12287 |       multiprocessing
import time:       868 |        868 |               concurrent
import time:      1406 |       1406 |               concurrent.futures._base
import time:      1226 |       3500 |             concurrent.futures
import time:        87 |         87 |               _heapq
import time:      1138 |       1224 |             heapq
import time:      3672 |       3672 |               _ssl
import time:      1188 |       1188 |               base64
import time:      5792 |      10651 |             ssl
import time:       979 |        979 |             asyncio.constants
import time:       789 |        789 |             asyncio.coroutines
import time:       740 |        740 |               asyncio.format_helpers
import time:       813 |        813 |                 asyncio.base_futures
import time:       925 |        925 |                 asyncio.exceptions
import time:       816 |        816 |                 asyncio.base_tasks
import time:      1040 |       3593 |               _asyncio
import time:      1244 |       5576 |             asyncio.events
import time:       948 |        948 |             asyncio.futures
import time:       913 |        913 |             asyncio.protocols
import time:      1215 |       1215 |               asyncio.transports
import time:      1158 |       1158 |               asyncio.log
import time:      2082 |       4454 |             asyncio.sslproto
import time:       715 |        715 |                 asyncio.mixins
import time:      1008 |       1008 |                 asyncio.tasks
import time:      1171 |       2893 |               asyncio.locks
import time:      1071 |       3963 |             asyncio.staggered
import time:       854 |        854 |             asyncio.trsock
import time:      2173 |      36019 |           asyncio.base_events
import time:      1007 |       1007 |           asyncio.runners
import time:       902 |        902 |           asyncio.queues
import time:      1074 |       1074 |           asyncio.streams
import time:       898 |        898 |           asyncio.subprocess
import time:       827 |        827 |           asyncio.taskgroups
import time:      1638 |       1638 |           asyncio.timeouts
import time:      1062 |       1062 |           asyncio.threads
import time:      2307 |       2307 |             _overlapped
import time:      1140 |       1140 |             asyncio.base_subprocess
import time:      1309 |       1309 |             asyncio.proactor_events
import time:      1327 |       1327 |             asyncio.selector_events
import time:       927 |        927 |             asyncio.windows_utils
import time:      1622 |       8630 |           asyncio.windows_events
import time:      1267 |      53322 |         asyncio
import time:       853 |      54175 |       loguru._asyncio_loop
import time:       775 |        775 |       loguru._colorama
import time:       698 |        698 |       loguru._filters
import time:      2026 |       2026 |         sysconfig
import time:      1247 |       3273 |       loguru._better_exceptions
import time:      1530 |       1530 |       loguru._colorizer
import time:       766 |        766 |       loguru._contextvars
import time:      1257 |       1257 |         calendar
import time:      1281 |       2538 |       loguru._datetime
import time:       992 |        992 |       loguru._error_interceptor
import time:      1461 |       1461 |           _decimal
import time:      1102 |       2562 |         decimal
import time:      1737 |       1737 |         glob
import time:       837 |        837 |         loguru._string_parsers
import time:      3465 |       3465 |               ctypes.wintypes
import time:      1022 |       4487 |             win32_setctime._setctime
import time:      1083 |       5569 |           win32_setctime
import time:       868 |       6437 |         loguru._ctime_functions
import time:      1327 |      12898 |       loguru._file_sink
import time:      1056 |       1056 |       loguru._get_frame
import time:       893 |        893 |         loguru._locks_machinery
import time:      1137 |       2030 |       loguru._handler
import time:      1377 |       1377 |       loguru._recattrs
import time:       995 |        995 |       loguru._simple_sinks
import time:      1830 |      97213 |     loguru._logger
import time:      2553 |     100672 |   loguru
import time:       830 |        830 |           colorama.ansi
import time:      1056 |       1056 |             colorama.win32
