import time: self [us] | cumulative | imported package
import time:      1305 |       1479 |               multiprocessing.spawn
import time:      1497 |       2975 |             multiprocessing.resource_tracker
import time:      1310 |      17410 |           torch.multiprocessing
import time:      1379 |       1379 |               torch.nested._internal
import time:       849 |        849 |                         torch.fx._compatibility
import time:      1329 |       2178 |                       torch.fx.immutable_collections
import time:       726 |        726 |                               torch.utils._dtype_abbrs
import time:      1754 |       1754 |                                 torch.return_types
import time:       862 |       2615 |                               torch.fx._pytree
import time:      2133 |       2133 |                                 torch.fx.operator_schemas
import time:     14712 |      16845 |                               torch.fx.node
import time:      7962 |      28146 |                             torch.fx.graph
import time:      2047 |      30193 |                           torch.fx.graph_module
import time:      1157 |      31350 |                         torch.fx._lazy_graph_module
import time:      1272 |       1272 |                           torch.fx.traceback
import time:       777 |        777 |                           torch.utils._traceback
import time:      1839 |       3888 |                         torch.fx.proxy
import time:      2336 |      37573 |                       torch.fx._symbolic_trace
import time:       670 |        670 |                               torch._logging.structured
import time:       843 |        843 |                                       unittest.util
import time:      1426 |       2269 |                                     unittest.result
import time:      1507 |       1507 |                                     unittest.case
import time:      1091 |       1091 |                                     unittest.suite
import time:      1523 |       1523 |                                     unittest.loader
import time:       674 |        674 |                                         unittest.signals
import time:       800 |       1473 |                                       unittest.runner
import time:       956 |       2429 |                                     unittest.main
import time:      1722 |      10539 |                                   unittest
import time:      1391 |       1391 |                                   pkgutil
import time:      2203 |      14131 |                                 unittest.mock
import time:       836 |        836 |                                 torch.utils._backport_slots
import time:       953 |        953 |                                 torch.utils.weak
import time:      9588 |      25507 |                               torch._guards
import time:      3043 |      29220 |                             torch._logging._internal
import time:       971 |      30191 |                           torch._logging._registrations
import time:       734 |      30924 |                         torch._logging
import time:       910 |        910 |                         torch.fx.config
import time:      1602 |      33436 |                       torch.fx.interpreter
import time:      1844 |       1844 |                       torch.fx.subgraph_rewriter
import time:      1100 |      76129 |                     torch.fx
import time:       870 |      76999 |                   torch.fx.experimental
import time:       969 |      77968 |                 torch.fx.experimental._constant_symnode
import time:      1182 |      79149 |               torch.nested._internal.nested_int
import time:      1966 |      82494 |             torch.nested._internal.nested_tensor
import time:      1323 |      83817 |           torch.nested
import time:      2246 |       2246 |               torch.optim.optimizer
import time:      2334 |       4580 |             torch.optim.lr_scheduler
import time:      1890 |       1890 |             torch.optim.swa_utils
import time:      1110 |       1110 |             torch.optim._adafactor
import time:       862 |        862 |             torch.optim._muon
import time:       937 |        937 |             torch.optim.adadelta
import time:       784 |        784 |             torch.optim.adagrad
import time:       916 |        916 |             torch.optim.adam
import time:      1038 |       1038 |             torch.optim.adamax
import time:       708 |        708 |             torch.optim.adamw
import time:       821 |        821 |             torch.optim.asgd
import time:       835 |        835 |             torch.optim.lbfgs
import time:       852 |        852 |             torch.optim.nadam
import time:       908 |        908 |             torch.optim.radam
import time:      1184 |       1184 |             torch.optim.rmsprop
import time:      1083 |       1083 |             torch.optim.rprop
import time:       881 |        881 |             torch.optim.sgd
import time:       723 |        723 |               torch.optim._functional
import time:       957 |       1680 |             torch.optim.sparse_adam
import time:      1260 |      22322 |           torch.optim
import time:       658 |        658 |             torch._environment
import time:      1263 |       1263 |               gzip
import time:      1717 |       1717 |                 torch.profiler._utils
import time:      4136 |       5853 |               torch.profiler._memory_profiler
import time:      3275 |      10390 |             torch.profiler.profiler
import time:       982 |        982 |             torch.profiler.itt
import time:      1097 |      13126 |           torch.profiler
import time:      1303 |       1303 |           torch.special
import time:      1146 |       1146 |             torch.xpu._utils
import time:      1073 |       1073 |             torch.xpu.streams
import time:       909 |        909 |             torch.xpu.memory
import time:       864 |        864 |             torch.xpu.random
import time:      1995 |       5986 |           torch.xpu
import time:      1050 |       1050 |               torch.signal.windows.windows
import time:       910 |       1960 |             torch.signal.windows
import time:       760 |       2719 |           torch.signal
import time:       709 |        709 |           torch.ao
import time:       863 |        863 |               torch.ao.nn
import time:      1187 |       1187 |                 torch.ao.nn.intrinsic.modules.fused
import time:       892 |       2079 |               torch.ao.nn.intrinsic.modules
import time:       934 |       3876 |             torch.ao.nn.intrinsic
import time:      1172 |       1172 |               torch.nn.intrinsic.modules.fused
import time:      1425 |       2596 |             torch.nn.intrinsic.modules
import time:      1119 |       1119 |                             torch.ao.nn.qat.modules.conv
import time:       775 |        775 |                             torch.ao.nn.qat.modules.embedding_ops
import time:       710 |        710 |                             torch.ao.nn.qat.modules.linear
import time:       907 |       3510 |                           torch.ao.nn.qat.modules
import time:       784 |       4294 |                         torch.ao.nn.qat
import time:      1553 |       5847 |                       torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       775 |        775 |                       torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       711 |        711 |                       torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       902 |       8233 |                     torch.ao.nn.intrinsic.qat.modules
import time:       711 |       8944 |                   torch.ao.nn.intrinsic.qat
import time:      1024 |       9967 |                 torch.nn.intrinsic.qat.modules.conv_fused
import time:       698 |        698 |                 torch.nn.intrinsic.qat.modules.linear_fused
import time:       640 |        640 |                 torch.nn.intrinsic.qat.modules.linear_relu
import time:       988 |      12292 |               torch.nn.intrinsic.qat.modules
import time:       915 |      13207 |             torch.nn.intrinsic.qat
import time:       895 |        895 |                                         torch.ao.nn.quantizable.modules.activation
import time:       868 |        868 |                                         torch.ao.nn.quantizable.modules.rnn
import time:       860 |       2623 |                                       torch.ao.nn.quantizable.modules
import time:       748 |       3371 |                                     torch.ao.nn.quantizable
import time:      1150 |       1150 |                                     torch.ao.nn.quantized.modules.activation
import time:       887 |        887 |                                     torch.ao.nn.quantized.modules.batchnorm
import time:       663 |        663 |                                       torch.ao.nn.quantized.modules.utils
import time:      1343 |       2006 |                                     torch.ao.nn.quantized.modules.conv
import time:       794 |        794 |                                     torch.ao.nn.quantized.modules.dropout
import time:      2179 |       2179 |                                     torch.ao.nn.quantized.modules.embedding_ops
import time:      1041 |       1041 |                                     torch.ao.nn.quantized.modules.functional_modules
import time:       924 |        924 |                                     torch.ao.nn.quantized.modules.linear
import time:       896 |        896 |                                     torch.ao.nn.quantized.modules.normalization
import time:       780 |        780 |                                     torch.ao.nn.quantized.modules.rnn
import time:      1191 |      15214 |                                   torch.ao.nn.quantized.modules
import time:        59 |      15272 |                                 torch.ao.nn.quantized.modules.utils
import time:       965 |      16237 |                               torch.ao.nn.quantized.functional
import time:       834 |      17071 |                             torch.ao.nn.quantized
import time:       939 |      18009 |                           torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       757 |        757 |                           torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       811 |        811 |                           torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       814 |        814 |                           torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       889 |      21278 |                         torch.ao.nn.intrinsic.quantized.modules
import time:       687 |      21965 |                       torch.ao.nn.intrinsic.quantized
import time:       997 |        997 |                               torch.ao.nn.quantized.dynamic.modules.conv
import time:       759 |        759 |                               torch.ao.nn.quantized.dynamic.modules.linear
import time:      1172 |       1172 |                               torch.ao.nn.quantized.dynamic.modules.rnn
import time:       852 |       3778 |                             torch.ao.nn.quantized.dynamic.modules
import time:       737 |       4514 |                           torch.ao.nn.quantized.dynamic
import time:       839 |       5353 |                         torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       828 |       6180 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       829 |      28972 |                     torch.ao.nn.intrinsic.quantized.dynamic
import time:       821 |      29793 |                   torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:      1125 |      30918 |                 torch.nn.intrinsic.quantized.dynamic.modules
import time:      1238 |      32155 |               torch.nn.intrinsic.quantized.dynamic
import time:       922 |        922 |                 torch.nn.intrinsic.quantized.modules.bn_relu
import time:       833 |        833 |                 torch.nn.intrinsic.quantized.modules.conv_relu
import time:       661 |        661 |                 torch.nn.intrinsic.quantized.modules.linear_relu
import time:      1009 |       3424 |               torch.nn.intrinsic.quantized.modules
import time:       979 |      36557 |             torch.nn.intrinsic.quantized
import time:       852 |      57086 |           torch.nn.intrinsic
import time:       849 |        849 |                           torch.ao.nn.qat.dynamic.modules.linear
import time:       796 |       1644 |                         torch.ao.nn.qat.dynamic.modules
import time:       662 |       2306 |                       torch.ao.nn.qat.dynamic
import time:       781 |       3086 |                     torch.ao.nn.qat.dynamic.modules
import time:        56 |       3142 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:       762 |       3903 |                 torch.nn.qat.dynamic.modules.linear
import time:       844 |       4747 |               torch.nn.qat.dynamic.modules
import time:       845 |       5591 |             torch.nn.qat.dynamic
import time:       743 |        743 |               torch.nn.qat.modules.conv
import time:       634 |        634 |               torch.nn.qat.modules.embedding_ops
import time:       620 |        620 |               torch.nn.qat.modules.linear
import time:       811 |       2806 |             torch.nn.qat.modules
import time:       796 |       9192 |           torch.nn.qat
import time:       817 |        817 |             torch.nn.quantizable.modules
import time:       716 |       1533 |           torch.nn.quantizable
import time:       952 |        952 |             torch.nn.quantized.dynamic
import time:       786 |        786 |             torch.nn.quantized.functional
import time:       844 |        844 |             torch.nn.quantized.modules
import time:       815 |       3396 |           torch.nn.quantized
import time:       959 |        959 |           torch._size_docs
import time:       764 |        764 |           torch._storage_docs
import time:      1664 |       1664 |           torch._tensor_docs
import time:       827 |        827 |                         torch.ao.quantization.quant_type
import time:       949 |       1775 |                       torch.ao.quantization.utils
import time:      3927 |       5701 |                     torch.ao.quantization.observer
import time:      1052 |       6753 |                   torch.ao.quantization.fake_quantize
import time:       850 |        850 |                     torch.ao.quantization.fuser_method_mappings
import time:       932 |       1782 |                   torch.ao.quantization.fuse_modules
import time:      1127 |       1127 |                     torch.ao.quantization.pt2e
import time:       869 |        869 |                         torch.ao.ns
import time:       946 |       1815 |                       torch.ao.ns.fx
import time:       927 |        927 |                       torch.ao.ns.fx.ns_types
import time:      1284 |       4025 |                     torch.ao.ns.fx.utils
import time:       788 |        788 |                                     torch._dispatch
import time:      1524 |       2312 |                                   torch._dispatch.python
import time:      2112 |       2112 |                                         torch._library.fake_profile
import time:       764 |        764 |                                           torch.utils._mode_utils
import time:      6710 |       7474 |                                         torch._subclasses.meta_utils
import time:       811 |        811 |                                         torch.utils._stats
import time:      1886 |       1886 |                                           torch.fx.experimental.sym_node
import time:      3142 |       5027 |                                         torch._subclasses._fake_tensor_utils
import time:       861 |        861 |                                           torch._custom_op
import time:     13155 |      14016 |                                         torch._subclasses.fake_impls
import time:     14043 |      43479 |                                       torch._subclasses.fake_tensor
import time:      1250 |       1250 |                                       torch._subclasses.fake_utils
import time:       895 |      45623 |                                     torch._subclasses
import time:        54 |      45677 |                                   torch._subclasses.meta_utils
import time:      1000 |      48988 |                                 torch.fx.passes.shape_prop
import time:       487 |        487 |                                 pydot
import time:      1045 |      50519 |                               torch.fx.passes.graph_drawer
import time:       951 |        951 |                               torch.fx.passes.graph_manipulation
import time:      1639 |       1639 |                                       torch.fx.passes.utils.matcher_utils
import time:      1332 |       2970 |                                     torch.fx.passes.utils.common
import time:       907 |       3877 |                                   torch.fx.passes.utils
import time:      1833 |       1833 |                                   torch.fx.passes.tools_common
import time:      2361 |       8069 |                                 torch.fx.passes.split_utils
import time:      1877 |       9946 |                               torch.fx.passes.net_min_base
import time:      1410 |       1410 |                               torch.fx.passes.operator_support
import time:       818 |        818 |                               torch.fx.passes.param_fetch
import time:      1799 |       1799 |                               torch.fx.passes.reinplace
import time:       827 |        827 |                                 torch.fx._utils
import time:      1216 |       1216 |                                   torch.utils._thunk
import time:       981 |        981 |                                   torch.fx.experimental._backward_state
import time:      3574 |       5770 |                                 torch.fx.experimental.proxy_tensor
import time:      1101 |       7697 |                               torch.fx.passes.runtime_assert
import time:      1142 |       1142 |                               torch.fx.passes.split_module
import time:      1905 |       1905 |                               torch.fx.passes.splitter_base
import time:       886 |      77069 |                             torch.fx.passes
import time:       795 |        795 |                               torch.fx.passes.infra.pass_base
import time:      1252 |       2046 |                             torch.fx.passes.infra.pass_manager
import time:      1533 |      80647 |                           torch.fx.passes.infra
import time:        67 |      80714 |                         torch.fx.passes.infra.pass_base
import time:      2248 |       2248 |                         torch.export.custom_ops
import time:       635 |        635 |                               torch.export._tree_utils
import time:      8462 |       8462 |                               torch.export.graph_signature
import time:       770 |        770 |                                     torch._custom_op.autograd
import time:      1964 |       2734 |                                   torch._custom_op.impl
import time:       879 |       3612 |                                 torch._custom_ops
import time:      2900 |       2900 |                                   torch._subclasses.functional_tensor
import time:      2372 |       5272 |                                 torch._export.utils
import time:      1542 |       1542 |                                             torch._higher_order_ops.schema
import time:      1552 |       3094 |                                           torch._higher_order_ops.utils
import time:      2757 |       5850 |                                         torch._higher_order_ops.auto_functionalize
import time:       858 |       6708 |                                       torch._higher_order_ops.base_hop
import time:      1854 |       8562 |                                     torch._higher_order_ops._invoke_quant
import time:      1140 |       1140 |                                     torch._higher_order_ops.aoti_call_delegate
import time:      1292 |       1292 |                                     torch._higher_order_ops.associative_scan
import time:      1259 |       1259 |                                     torch._higher_order_ops.cond
import time:       868 |        868 |                                           torch._functorch._aot_autograd
import time:     42251 |      42251 |                                           torch._functorch._aot_autograd.descriptors
import time:      2275 |      45393 |                                         torch._functorch._aot_autograd.utils
import time:      1037 |      46429 |                                       torch._higher_order_ops.torchbind
import time:      1241 |      47670 |                                     torch._higher_order_ops.effects
import time:      1458 |       1458 |                                     torch._higher_order_ops.executorch_call_delegate
import time:      1774 |       1774 |                                     torch._higher_order_ops.flat_apply
import time:       672 |        672 |                                           torch.testing._internal
import time:      1065 |       1737 |                                         torch.testing._internal.logging_tensor
import time:      1637 |       3373 |                                       torch.utils.checkpoint
import time:      1409 |       4782 |                                     torch._higher_order_ops.flex_attention
import time:       895 |        895 |                                     torch._higher_order_ops.foreach_map
import time:      1012 |       1012 |                                     torch._higher_order_ops.hints_wrap
import time:      1640 |       1640 |                                     torch._higher_order_ops.invoke_subgraph
import time:      1346 |       1346 |                                     torch._higher_order_ops.map
import time:      2126 |       2126 |                                     torch._higher_order_ops.out_dtype
import time:      1081 |       1081 |                                     torch._higher_order_ops.run_const_graph
import time:      1514 |       1514 |                                     torch._higher_order_ops.scan
import time:      1027 |       1027 |                                     torch._higher_order_ops.strict_mode
import time:      1401 |       1401 |                                     torch._higher_order_ops.while_loop
import time:      1228 |       1228 |                                     torch._higher_order_ops.wrap
import time:      1201 |      82399 |                                   torch._higher_order_ops
import time:        60 |      82458 |                                 torch._higher_order_ops.flat_apply
import time:      1663 |      93004 |                               torch._export.wrappers
import time:      1223 |     103322 |                             torch._export
import time:        66 |     103387 |                           torch._export.utils
import time:      1286 |     104673 |                         torch.export.decomp_utils
import time:       937 |        937 |                             torch._export.verifier
import time:      2225 |       3161 |                           torch.export.exported_program
import time:      4032 |       7192 |                         torch.export.dynamic_shapes
import time:       786 |        786 |                           torch.export._remove_effect_tokens_pass
import time:      3772 |       4557 |                         torch.export.unflatten
import time:      1210 |     200592 |                       torch.export
import time:      1777 |       1777 |                       torch.fx.passes.utils.source_matcher_utils
import time:       868 |     203236 |                     torch.ao.quantization.pt2e.graph_utils
import time:      2871 |     211258 |                   torch.ao.quantization.pt2e._numeric_debugger
import time:       836 |        836 |                   torch.ao.quantization.pt2e.export_utils
import time:      1150 |       1150 |                   torch.ao.quantization.qconfig
import time:       801 |        801 |                   torch.ao.quantization.qconfig_mapping
import time:       682 |        682 |                           torch.ao.nn.quantized.reference.modules.utils
import time:      1123 |       1805 |                         torch.ao.nn.quantized.reference.modules.conv
import time:      1100 |       1100 |                         torch.ao.nn.quantized.reference.modules.linear
import time:      1473 |       1473 |                         torch.ao.nn.quantized.reference.modules.rnn
import time:       944 |        944 |                         torch.ao.nn.quantized.reference.modules.sparse
import time:       973 |       6294 |                       torch.ao.nn.quantized.reference.modules
import time:       725 |       7018 |                     torch.ao.nn.quantized.reference
import time:       700 |        700 |                             torch.ao.nn.sparse.quantized.linear
import time:       767 |        767 |                             torch.ao.nn.sparse.quantized.utils
import time:       898 |       2365 |                           torch.ao.nn.sparse.quantized.dynamic.linear
import time:       915 |       3280 |                         torch.ao.nn.sparse.quantized.dynamic
import time:       899 |       4179 |                       torch.ao.nn.sparse.quantized
import time:       788 |       4966 |                     torch.ao.nn.sparse
import time:       738 |        738 |                     torch.ao.quantization.stubs
import time:      1471 |      14192 |                   torch.ao.quantization.quantization_mappings
import time:       916 |        916 |                   torch.ao.quantization.quantize
import time:       789 |        789 |                   torch.ao.quantization.quantize_jit
import time:      1178 |     239653 |                 torch.ao.quantization
import time:        64 |     239716 |               torch.ao.quantization.fake_quantize
import time:       819 |     240535 |             torch.quantization.fake_quantize
import time:       669 |        669 |             torch.quantization.fuse_modules
import time:       662 |        662 |             torch.quantization.fuser_method_mappings
import time:       690 |        690 |             torch.quantization.observer
import time:       663 |        663 |             torch.quantization.qconfig
import time:       656 |        656 |             torch.quantization.quant_type
import time:       676 |        676 |             torch.quantization.quantization_mappings
import time:       661 |        661 |             torch.quantization.quantize
import time:       983 |        983 |             torch.quantization.quantize_jit
import time:       727 |        727 |             torch.quantization.stubs
import time:      1024 |     247941 |           torch.quantization
import time:       978 |        978 |           torch.quasirandom
import time:       729 |        729 |           torch.multiprocessing._atfork
import time:      2144 |       2144 |           torch._lobpcg
import time:       664 |        664 |               torch.masked._docs
import time:       850 |        850 |                     torch.masked.maskedtensor.core
import time:      5160 |       6010 |                   torch.masked.maskedtensor.binary
import time:      1490 |       1490 |                   torch.masked.maskedtensor.passthrough
import time:       822 |        822 |                     torch.masked.maskedtensor.creation
import time:      2992 |       3813 |                   torch.masked.maskedtensor.reductions
import time:      5336 |       5336 |                   torch.masked.maskedtensor.unary
import time:       837 |      17485 |                 torch.masked.maskedtensor
import time:        69 |      17554 |               torch.masked.maskedtensor.core
import time:      1472 |      19688 |             torch.masked._ops
import time:       831 |      20519 |           torch.masked
import time:      1026 |       1026 |           torch.utils.dlpack
import time:       647 |        647 |             torch._functorch.batch_norm_replacement
import time:       857 |        857 |               torch.fx.experimental.const_fold
import time:      1211 |       2067 |             torch._functorch.eager_transforms
import time:       830 |        830 |             torch._functorch.functional_call
import time:       786 |       4329 |           torch.func
import time:       791 |        791 |                     torch.utils._content_store
import time:       917 |       1708 |                   torch._prims.debug_prims
import time:      1176 |       1176 |                   torch._prims.rng_prims
import time:      1231 |       1231 |                   torch._prims_common.wrappers
import time:    465380 |     469493 |                 torch._prims
import time:     49219 |     518712 |               torch._decomp.decompositions
import time:      1808 |       1808 |                 torch._refs._conversions
import time:      7240 |       7240 |                 torch._refs.fft
import time:      2239 |       2239 |                 torch._refs.linalg
import time:       842 |        842 |                   torch._refs.nn
import time:      7814 |       8656 |                 torch._refs.nn.functional
import time:      4827 |       4827 |                 torch._refs.special
import time:     69924 |      94691 |               torch._refs
import time:      1344 |     614746 |             torch._decomp
import time:      2264 |       2264 |               torch.utils._config_module
import time:      2124 |       4388 |             torch.fx.experimental._config
import time:    155253 |     774386 |           torch._meta_registrations
import time:      2034 |       2034 |             torch.compiler.config
import time:      1222 |       3256 |           torch.compiler
import time:   1037822 |    2998818 |         torch
import time:       751 |    3024110 |       kokoro.custom_stft
import time:       993 |    3025102 |     kokoro.istftnet
import time:       654 |        654 |           transformers.dependency_versions_table
import time:      1312 |       1312 |               huggingface_hub
import time:      1326 |       1326 |                   urllib3.exceptions
import time:      1061 |       1061 |                           urllib3.util.timeout
import time:      1681 |       2741 |                         urllib3.util.connection
import time:       656 |        656 |                           urllib3.util.util
import time:       539 |        539 |                           brotlicffi
import time:       490 |        490 |                           brotli
import time:       496 |        496 |                           compression
import time:       486 |        486 |                           zstandard
import time:      1329 |       3994 |                         urllib3.util.request
import time:       751 |        751 |                         urllib3.util.response
import time:      1255 |       1255 |                         urllib3.util.retry
import time:       953 |        953 |                           hmac
import time:     24231 |      24231 |                           urllib3.util.url
import time:      1084 |       1084 |                           urllib3.util.ssltransport
import time:      1051 |      27317 |                         urllib3.util.ssl_
import time:       687 |        687 |                         urllib3.util.wait
import time:       832 |      37574 |                       urllib3.util
import time:        51 |      37624 |                     urllib3.util.connection
import time:      1386 |      39010 |                   urllib3._base_connection
import time:      1396 |       1396 |                   urllib3._collections
import time:       715 |        715 |                   urllib3._version
import time:       978 |        978 |                           mimetypes
import time:       768 |       1746 |                         urllib3.fields
import time:       812 |       2557 |                       urllib3.filepost
import time:       465 |        465 |                         brotlicffi
import time:       490 |        490 |                         brotli
import time:       918 |        918 |                           urllib3.http2
import time:       911 |        911 |                           urllib3.http2.probe
import time:       665 |        665 |                           urllib3.util.ssl_match_hostname
import time:      1476 |       3968 |                         urllib3.connection
import time:       469 |        469 |                         compression
import time:       427 |        427 |                         zstandard
import time:      1345 |       7162 |                       urllib3.response
import time:       919 |      10638 |                     urllib3._request_methods
import time:       979 |        979 |                     urllib3.util.proxy
import time:      1154 |      12769 |                   urllib3.connectionpool
import time:      1581 |       1581 |                   urllib3.poolmanager
import time:      1297 |      58093 |                 urllib3
import time:      1770 |       1770 |                         charset_normalizer.constant
import time:       627 |        627 |                           charset_normalizer.md__mypyc
import time:       141 |        141 |                             _multibytecodec
import time:       998 |       1138 |                           charset_normalizer.utils
import time:      1011 |       2776 |                         charset_normalizer.md
import time:      1120 |       1120 |                         charset_normalizer.models
import time:       794 |       6458 |                       charset_normalizer.cd
import time:      1045 |       7503 |                     charset_normalizer.api
import time:       705 |        705 |                     charset_normalizer.legacy
import time:       768 |        768 |                     charset_normalizer.version
import time:       652 |        652 |                     simplejson
import time:      3929 |       3929 |                     http.cookiejar
import time:      1851 |       1851 |                     http.cookies
import time:      2228 |      17634 |                   requests.compat
import time:      1225 |      18859 |                 requests.exceptions
import time:       488 |        488 |                 chardet
import time:      1365 |       1365 |                       idna.idnadata
import time:       685 |        685 |                       idna.intranges
import time:      1632 |       3682 |                     idna.core
import time:       792 |        792 |                     idna.package_data
import time:      1086 |       5559 |                   idna
import time:      1682 |       7241 |                 requests.packages
import time:      1001 |       1001 |                       certifi.core
import time:      1033 |       2034 |                     certifi
import time:       624 |       2657 |                   requests.certs
import time:       828 |        828 |                   requests.__version__
import time:      1049 |       1049 |                   requests._internal_utils
import time:      1026 |       1026 |                   requests.cookies
import time:       746 |        746 |                   requests.structures
import time:      1228 |       7532 |                 requests.utils
import time:       786 |        786 |                       requests.auth
import time:      1320 |       1320 |                           stringprep
import time:       945 |       2265 |                         encodings.idna
import time:       905 |        905 |                         requests.hooks
import time:      1914 |       1914 |                         requests.status_codes
import time:      1107 |       6189 |                       requests.models
import time:       804 |        804 |                         urllib3.contrib
import time:       467 |        467 |                         socks
import time:      1030 |       2300 |                       urllib3.contrib.socks
import time:       952 |      10226 |                     requests.adapters
import time:       898 |      11123 |                   requests.sessions
import time:       762 |      11884 |                 requests.api
import time:      1272 |     105366 |               requests
import time:       945 |        945 |                 tqdm.autonotebook
import time:       776 |        776 |                 tqdm.asyncio
import time:      1178 |       2898 |               tqdm.auto
import time:       794 |        794 |                 tqdm.contrib
import time:       894 |       1687 |               tqdm.contrib.concurrent
import time:      1001 |       1001 |               huggingface_hub.constants
import time:      1294 |       1294 |                 huggingface_hub.errors
import time:      1049 |       1049 |                       huggingface_hub.utils.tqdm
import time:      2362 |       2362 |                         configparser
import time:     21295 |      21295 |                         huggingface_hub.utils._runtime
import time:       852 |      24508 |                       huggingface_hub.utils._auth
import time:       898 |        898 |                       huggingface_hub.utils._cache_assets
import time:       777 |        777 |                           huggingface_hub.commands
import time:       950 |       1727 |                         huggingface_hub.commands._cli_utils
import time:       810 |        810 |                         huggingface_hub.utils.logging
import time:      4258 |       6794 |                       huggingface_hub.utils._cache_manager
import time:       900 |        900 |                       huggingface_hub.utils._chunk_utils
import time:       719 |        719 |                       huggingface_hub.utils._datetime
import time:       667 |        667 |                       huggingface_hub.utils._experimental
import time:       900 |        900 |                           yaml.error
import time:       879 |        879 |                           yaml.tokens
import time:       921 |        921 |                           yaml.events
import time:      1074 |       1074 |                           yaml.nodes
import time:      9195 |       9195 |                             yaml.reader
import time:      1432 |       1432 |                             yaml.scanner
import time:       953 |        953 |                             yaml.parser
import time:       767 |        767 |                             yaml.composer
import time:      1639 |       1639 |                             yaml.constructor
import time:      3365 |       3365 |                             yaml.resolver
import time:      1208 |      18556 |                           yaml.loader
import time:      1335 |       1335 |                             yaml.emitter
import time:      1075 |       1075 |                             yaml.serializer
import time:      1169 |       1169 |                             yaml.representer
import time:       989 |       4566 |                           yaml.dumper
import time:      1262 |       1262 |                             yaml._yaml
import time:      1228 |       2490 |                           yaml.cyaml
import time:      1536 |      30918 |                         yaml
import time:       850 |        850 |                             filelock._error
import time:      2052 |       2902 |                           filelock._api
import time:      1005 |       1005 |                             filelock._util
import time:       967 |       1971 |                           filelock._soft
import time:      1020 |       1020 |                           filelock._unix
import time:       955 |        955 |                           filelock._windows
import time:      2037 |       2037 |                           filelock.asyncio
import time:       798 |        798 |                           filelock.version
import time:      1715 |      11396 |                         filelock
import time:       850 |      43163 |                       huggingface_hub.utils._fixes
import time:       889 |        889 |                         huggingface_hub.utils._subprocess
import time:      1237 |       2126 |                       huggingface_hub.utils._git_credential
import time:       679 |        679 |                         huggingface_hub.utils._deprecation
import time:       778 |        778 |                           huggingface_hub.utils._typing
import time:       923 |       1700 |                         huggingface_hub.utils._validators
import time:      1007 |       3386 |                       huggingface_hub.utils._headers
import time:       776 |        776 |                       huggingface_hub.utils._hf_folder
import time:      1098 |       1098 |                         shlex
import time:       729 |        729 |                         huggingface_hub.utils._lfs
import time:      1468 |       3294 |                       huggingface_hub.utils._http
import time:       739 |        739 |                       huggingface_hub.utils._pagination
import time:       949 |        949 |                       huggingface_hub.utils._paths
import time:      2555 |       2555 |                       huggingface_hub.utils._safetensors
import time:      1279 |       1279 |                       huggingface_hub.utils._telemetry
import time:      3192 |       3192 |                       huggingface_hub.utils._xet
import time:      1267 |      98253 |                     huggingface_hub.utils
import time:      3503 |     101755 |                   huggingface_hub._local_folder
import time:       815 |        815 |                     huggingface_hub.utils.insecure_hashlib
import time:      1067 |       1882 |                   huggingface_hub.utils.sha
import time:      3020 |     106656 |                 huggingface_hub.file_download
import time:      2301 |       2301 |                 huggingface_hub.lfs
import time:      3472 |     113721 |               huggingface_hub._commit_api
import time:      2617 |       2617 |               huggingface_hub._inference_endpoints
import time:      3258 |       3258 |                 huggingface_hub._space_api
import time:      5557 |       8815 |               huggingface_hub._jobs_api
import time:      1884 |       1884 |               huggingface_hub._upload_large_folder
import time:      7079 |       7079 |               huggingface_hub.community
import time:      3086 |       3086 |               huggingface_hub.repocard_data
import time:      1052 |       1052 |               huggingface_hub.utils.endpoint_helpers
import time:      1201 |       1201 |               packaging
import time:       771 |        771 |                 packaging._structures
import time:      1993 |       2763 |               packaging.version
import time:      2855 |       2855 |                       regex._regex
import time:      6087 |       8942 |                     regex._regex_core
import time:       173 |        173 |                     regex.DEFAULT_VERSION
import time:      1271 |      10385 |                   regex._main
import time:      1075 |      11460 |                 regex
import time:      1078 |       1078 |                 transformers.utils.doc
import time:       855 |        855 |                   transformers.utils.logging
import time:     66537 |      66537 |                   transformers.utils.import_utils
import time:      1138 |       1138 |                         safetensors._safetensors_rust
import time:      1095 |       2233 |                       safetensors
import time:      1179 |       3411 |                     safetensors.torch
import time:       677 |        677 |                                 torch.distributed._functional_collectives_impl
import time:       842 |        842 |                                 torch.utils._cxx_pytree
import time:      4118 |       5637 |                               torch.distributed._functional_collectives
import time:     63208 |      63208 |                               torch.distributed.tensor._collective_utils
import time:      4697 |      73541 |                             torch.distributed.tensor.placement_types
import time:      1750 |      75291 |                           torch.distributed.tensor._dtensor_spec
